pair_id,model_a,model_b,method,method_label,evaluation_count,maximum_evaluations,a_to_b,b_to_a,mean_n_train,mean_n_test,aggregation_bi,aggregation_bi_sd,market_bi,market_bi_sd,aggregation_minus_market_bi,beats_market,beat_market_share,diversity_prediction_diversity,diversity_adjusted_pog,diversity_high_loss_diversity,diversity_adjusted_loss_diversity
Claude-3-5-Sonnet-20241022 (scratchpad with freeze values) × Claude-3-7-Sonnet-20250219 (scratchpad with freeze values),Claude-3-5-Sonnet-20241022 (scratchpad with freeze values),Claude-3-7-Sonnet-20250219 (scratchpad with freeze values),ec_w0_56,EC · w = 0.56,10,20,"{'count': 5, 'aggregation_bi': 73.54311620849121, 'market_bi': 73.41640195165685, 'aggregation_minus_market_bi': 0.12671425683436155, 'beat_market_share': 0.8}","{'count': 5, 'aggregation_bi': 73.37814897189763, 'market_bi': 73.21898081083063, 'aggregation_minus_market_bi': 0.15916816106700082, 'beat_market_share': 1.0}",212.5,208.5,73.46063259019442,0.3571420884390131,73.31769138124375,0.30269639567040163,0.14294120895067408,True,0.9,0.011505233512685075,0.002077205877142134,-128.6,-0.9273409703185793
Claude-3-5-Sonnet-20241022 (scratchpad with freeze values) × Claude-3-7-Sonnet-20250219 (scratchpad with freeze values),Claude-3-5-Sonnet-20241022 (scratchpad with freeze values),Claude-3-7-Sonnet-20250219 (scratchpad with freeze values),log_odds_mean,Log-odds Mean,10,20,"{'count': 5, 'aggregation_bi': 73.42308352124633, 'market_bi': 73.41640195165685, 'aggregation_minus_market_bi': 0.006681569589474634, 'beat_market_share': 0.6}","{'count': 5, 'aggregation_bi': 73.22306639098319, 'market_bi': 73.21898081083063, 'aggregation_minus_market_bi': 0.004085580152562329, 'beat_market_share': 0.6}",212.5,208.5,73.32307495611477,0.3787183847458236,73.31769138124375,0.30269639567040163,0.005383574871018482,True,0.6,0.011505233512685075,0.002077205877142134,-128.6,-0.9273409703185793
Claude-3-5-Sonnet-20241022 (scratchpad with freeze values) × Claude-3-7-Sonnet-20250219 (scratchpad with freeze values),Claude-3-5-Sonnet-20241022 (scratchpad with freeze values),Claude-3-7-Sonnet-20250219 (scratchpad with freeze values),piecewise_odds,Piecewise Odds,10,20,"{'count': 5, 'aggregation_bi': 73.46894855542494, 'market_bi': 73.41640195165685, 'aggregation_minus_market_bi': 0.05254660376809284, 'beat_market_share': 0.6}","{'count': 5, 'aggregation_bi': 73.36404839671039, 'market_bi': 73.21898081083063, 'aggregation_minus_market_bi': 0.1450675858797581, 'beat_market_share': 0.8}",212.5,208.5,73.41649847606767,0.40163851923084465,73.31769138124375,0.30269639567040163,0.09880709482392547,True,0.7,0.011505233512685075,0.002077205877142134,-128.6,-0.9273409703185793
Claude-3-5-Sonnet-20241022 (scratchpad with freeze values) × Claude-3-7-Sonnet-20250219 (scratchpad with freeze values),Claude-3-5-Sonnet-20241022 (scratchpad with freeze values),Claude-3-7-Sonnet-20250219 (scratchpad with freeze values),simple_mean,Simple Mean,10,20,"{'count': 5, 'aggregation_bi': 73.41476756014997, 'market_bi': 73.41640195165685, 'aggregation_minus_market_bi': -0.0016343915068830484, 'beat_market_share': 0.6}","{'count': 5, 'aggregation_bi': 73.20860446479749, 'market_bi': 73.21898081083063, 'aggregation_minus_market_bi': -0.010376346033140749, 'beat_market_share': 0.6}",212.5,208.5,73.31168601247373,0.3759729352585561,73.31769138124375,0.30269639567040163,-0.006005368770019004,False,0.6,0.011505233512685075,0.002077205877142134,-128.6,-0.9273409703185793
Claude-3-5-Sonnet-20241022 (scratchpad with freeze values) × Claude-3-7-Sonnet-20250219 (zero shot with freeze values),Claude-3-5-Sonnet-20241022 (scratchpad with freeze values),Claude-3-7-Sonnet-20250219 (zero shot with freeze values),ec_w0_56,EC · w = 0.56,10,20,"{'count': 5, 'aggregation_bi': 73.36574469602999, 'market_bi': 73.41640195165685, 'aggregation_minus_market_bi': -0.05065725562685941, 'beat_market_share': 0.6}","{'count': 5, 'aggregation_bi': 73.03039368401318, 'market_bi': 73.21898081083063, 'aggregation_minus_market_bi': -0.1885871268174526, 'beat_market_share': 0.4}",212.5,208.5,73.19806919002158,0.3281309032975331,73.31769138124375,0.30269639567040163,-0.11962219122216311,False,0.5,0.04425229030017823,0.0025741876601881805,-53.208333333333336,-0.6806769128774093
Claude-3-5-Sonnet-20241022 (scratchpad with freeze values) × Claude-3-7-Sonnet-20250219 (zero shot with freeze values),Claude-3-5-Sonnet-20241022 (scratchpad with freeze values),Claude-3-7-Sonnet-20250219 (zero shot with freeze values),log_odds_mean,Log-odds Mean,10,20,"{'count': 5, 'aggregation_bi': 73.265357174419, 'market_bi': 73.41640195165685, 'aggregation_minus_market_bi': -0.15104477723785692, 'beat_market_share': 0.2}","{'count': 5, 'aggregation_bi': 72.92218701846268, 'market_bi': 73.21898081083063, 'aggregation_minus_market_bi': -0.29679379236795, 'beat_market_share': 0.0}",212.5,208.5,73.09377209644083,0.3117549415452509,73.31769138124375,0.30269639567040163,-0.22391928480291767,False,0.1,0.04425229030017823,0.0025741876601881805,-53.208333333333336,-0.6806769128774093
Claude-3-5-Sonnet-20241022 (scratchpad with freeze values) × Claude-3-7-Sonnet-20250219 (zero shot with freeze values),Claude-3-5-Sonnet-20241022 (scratchpad with freeze values),Claude-3-7-Sonnet-20250219 (zero shot with freeze values),piecewise_odds,Piecewise Odds,10,20,"{'count': 5, 'aggregation_bi': 73.26555646492704, 'market_bi': 73.41640195165685, 'aggregation_minus_market_bi': -0.15084548672980702, 'beat_market_share': 0.4}","{'count': 5, 'aggregation_bi': 73.01393527420342, 'market_bi': 73.21898081083063, 'aggregation_minus_market_bi': -0.20504553662721037, 'beat_market_share': 0.4}",212.5,208.5,73.13974586956523,0.40559679528384024,73.31769138124375,0.30269639567040163,-0.1779455116785158,False,0.4,0.04425229030017823,0.0025741876601881805,-53.208333333333336,-0.6806769128774093
Claude-3-5-Sonnet-20241022 (scratchpad with freeze values) × Claude-3-7-Sonnet-20250219 (zero shot with freeze values),Claude-3-5-Sonnet-20241022 (scratchpad with freeze values),Claude-3-7-Sonnet-20250219 (zero shot with freeze values),simple_mean,Simple Mean,10,20,"{'count': 5, 'aggregation_bi': 73.29858936977737, 'market_bi': 73.41640195165685, 'aggregation_minus_market_bi': -0.11781258187947685, 'beat_market_share': 0.2}","{'count': 5, 'aggregation_bi': 72.964666978784, 'market_bi': 73.21898081083063, 'aggregation_minus_market_bi': -0.25431383204663405, 'beat_market_share': 0.0}",212.5,208.5,73.13162817428068,0.31813793154531356,73.31769138124375,0.30269639567040163,-0.18606320696306966,False,0.1,0.04425229030017823,0.0025741876601881805,-53.208333333333336,-0.6806769128774093
Claude-3-5-Sonnet-20241022 (scratchpad with freeze values) × DeepSeek-R1 (scratchpad with freeze values),Claude-3-5-Sonnet-20241022 (scratchpad with freeze values),DeepSeek-R1 (scratchpad with freeze values),ec_w0_56,EC · w = 0.56,11,20,"{'count': 6, 'aggregation_bi': 74.3784959263456, 'market_bi': 74.28083648238263, 'aggregation_minus_market_bi': 0.09765944396296788, 'beat_market_share': 0.8333333333333334}","{'count': 5, 'aggregation_bi': 74.27460755198459, 'market_bi': 74.1621935160861, 'aggregation_minus_market_bi': 0.11241403589848176, 'beat_market_share': 0.8}",155.9090909090909,144.0909090909091,74.3312739379997,0.36527320984670814,74.22690786133876,0.36009993822294317,0.10436607666093778,True,0.8181818181818182,0.038350406092252536,0.003488893593628056,-102.74999999999999,-0.7671185911573914
Claude-3-5-Sonnet-20241022 (scratchpad with freeze values) × DeepSeek-R1 (scratchpad with freeze values),Claude-3-5-Sonnet-20241022 (scratchpad with freeze values),DeepSeek-R1 (scratchpad with freeze values),log_odds_mean,Log-odds Mean,11,20,"{'count': 6, 'aggregation_bi': 74.16506955757684, 'market_bi': 74.28083648238263, 'aggregation_minus_market_bi': -0.11576692480578288, 'beat_market_share': 0.3333333333333333}","{'count': 5, 'aggregation_bi': 74.05383785416122, 'market_bi': 74.1621935160861, 'aggregation_minus_market_bi': -0.10835566192488955, 'beat_market_share': 0.4}",155.9090909090909,144.0909090909091,74.11450969238791,0.3507541641157537,74.22690786133876,0.36009993822294317,-0.11239816895084687,False,0.36363636363636365,0.038350406092252536,0.003488893593628056,-102.74999999999999,-0.7671185911573914
Claude-3-5-Sonnet-20241022 (scratchpad with freeze values) × DeepSeek-R1 (scratchpad with freeze values),Claude-3-5-Sonnet-20241022 (scratchpad with freeze values),DeepSeek-R1 (scratchpad with freeze values),piecewise_odds,Piecewise Odds,11,20,"{'count': 6, 'aggregation_bi': 74.54653615902708, 'market_bi': 74.28083648238263, 'aggregation_minus_market_bi': 0.26569967664445926, 'beat_market_share': 0.8333333333333334}","{'count': 5, 'aggregation_bi': 74.44863884667919, 'market_bi': 74.1621935160861, 'aggregation_minus_market_bi': 0.2864453305930823, 'beat_market_share': 1.0}",155.9090909090909,144.0909090909091,74.50203738068713,0.43538501053246526,74.22690786133876,0.36009993822294317,0.2751295193483685,True,0.9090909090909091,0.038350406092252536,0.003488893593628056,-102.74999999999999,-0.7671185911573914
Claude-3-5-Sonnet-20241022 (scratchpad with freeze values) × DeepSeek-R1 (scratchpad with freeze values),Claude-3-5-Sonnet-20241022 (scratchpad with freeze values),DeepSeek-R1 (scratchpad with freeze values),simple_mean,Simple Mean,11,20,"{'count': 6, 'aggregation_bi': 74.12677277637461, 'market_bi': 74.28083648238263, 'aggregation_minus_market_bi': -0.15406370600801722, 'beat_market_share': 0.3333333333333333}","{'count': 5, 'aggregation_bi': 73.99864874499004, 'market_bi': 74.1621935160861, 'aggregation_minus_market_bi': -0.16354477109607046, 'beat_market_share': 0.2}",155.9090909090909,144.0909090909091,74.06853458029072,0.35342916280077535,74.22690786133876,0.36009993822294317,-0.1583732810480427,False,0.2727272727272727,0.038350406092252536,0.003488893593628056,-102.74999999999999,-0.7671185911573914
Claude-3-5-Sonnet-20241022 (scratchpad with freeze values) × DeepSeek-R1 (zero shot with freeze values),Claude-3-5-Sonnet-20241022 (scratchpad with freeze values),DeepSeek-R1 (zero shot with freeze values),ec_w0_56,EC · w = 0.56,7,20,"{'count': 3, 'aggregation_bi': 74.58026564832907, 'market_bi': 74.44706655007228, 'aggregation_minus_market_bi': 0.13319909825679588, 'beat_market_share': 1.0}","{'count': 4, 'aggregation_bi': 74.86966020145604, 'market_bi': 74.82016735376723, 'aggregation_minus_market_bi': 0.04949284768881057, 'beat_market_share': 0.75}",80.57142857142857,81.42857142857143,74.74563396440162,0.5553369905789975,74.66026700932653,0.45843671738037906,0.08536695507508796,True,0.8571428571428571,0.024813946003136862,0.0013352329890640535,,-0.8775763934050829
Claude-3-5-Sonnet-20241022 (scratchpad with freeze values) × DeepSeek-R1 (zero shot with freeze values),Claude-3-5-Sonnet-20241022 (scratchpad with freeze values),DeepSeek-R1 (zero shot with freeze values),log_odds_mean,Log-odds Mean,7,20,"{'count': 3, 'aggregation_bi': 74.36674450858688, 'market_bi': 74.44706655007228, 'aggregation_minus_market_bi': -0.08032204148540245, 'beat_market_share': 0.0}","{'count': 4, 'aggregation_bi': 74.67158731769223, 'market_bi': 74.82016735376723, 'aggregation_minus_market_bi': -0.14858003607500336, 'beat_market_share': 0.0}",80.57142857142857,81.42857142857143,74.54094039950424,0.46454731869942145,74.66026700932653,0.45843671738037906,-0.11932660982229493,False,0.0,0.024813946003136862,0.0013352329890640535,,-0.8775763934050829
Claude-3-5-Sonnet-20241022 (scratchpad with freeze values) × DeepSeek-R1 (zero shot with freeze values),Claude-3-5-Sonnet-20241022 (scratchpad with freeze values),DeepSeek-R1 (zero shot with freeze values),piecewise_odds,Piecewise Odds,7,20,"{'count': 3, 'aggregation_bi': 74.7164891442364, 'market_bi': 74.44706655007228, 'aggregation_minus_market_bi': 0.2694225941641264, 'beat_market_share': 1.0}","{'count': 4, 'aggregation_bi': 74.86818630367537, 'market_bi': 74.82016735376723, 'aggregation_minus_market_bi': 0.048018949908140485, 'beat_market_share': 0.75}",80.57142857142857,81.42857142857143,74.80317323534439,0.6570294246494734,74.66026700932653,0.45843671738037906,0.14290622601785685,True,0.8571428571428571,0.024813946003136862,0.0013352329890640535,,-0.8775763934050829
Claude-3-5-Sonnet-20241022 (scratchpad with freeze values) × DeepSeek-R1 (zero shot with freeze values),Claude-3-5-Sonnet-20241022 (scratchpad with freeze values),DeepSeek-R1 (zero shot with freeze values),simple_mean,Simple Mean,7,20,"{'count': 3, 'aggregation_bi': 74.21007007314897, 'market_bi': 74.44706655007228, 'aggregation_minus_market_bi': -0.23699647692330927, 'beat_market_share': 0.0}","{'count': 4, 'aggregation_bi': 74.47430714788928, 'market_bi': 74.82016735376723, 'aggregation_minus_market_bi': -0.34586020587795474, 'beat_market_share': 0.0}",80.57142857142857,81.42857142857143,74.36106268728629,0.41556117550112887,74.66026700932653,0.45843671738037906,-0.2992043220402394,False,0.0,0.024813946003136862,0.0013352329890640535,,-0.8775763934050829
Claude-3-5-Sonnet-20241022 (scratchpad with freeze values) × DeepSeek-V3 (zero shot with freeze values),Claude-3-5-Sonnet-20241022 (scratchpad with freeze values),DeepSeek-V3 (zero shot with freeze values),ec_w0_56,EC · w = 0.56,8,20,"{'count': 5, 'aggregation_bi': 74.29974048107599, 'market_bi': 74.40865943472086, 'aggregation_minus_market_bi': -0.10891895364487425, 'beat_market_share': 0.4}","{'count': 3, 'aggregation_bi': 74.21332546936992, 'market_bi': 74.41514780111824, 'aggregation_minus_market_bi': -0.20182233174831765, 'beat_market_share': 0.0}",161.625,141.375,74.2673348516862,0.36815334085380563,74.41109257211988,0.22244396507335637,-0.1437577204336833,False,0.25,0.031034342842342286,0.002334510817330833,-133.0,-0.856934001373587
